,title,release_year,runtime_min,genre,rating,gross_usd_mil
118,The Lion King,1994,88,"Animation, Adventure, Drama, Animation, Adventure, Drama, Animation, Adventure, Drama",8.5,422.78
0,The Shawshank Redemption,1994,142,Drama,9.3,28.34
1741,Ed Wood,1994,127,"Biography, Comedy, Drama, Biography, Comedy, Drama, Biography, Comedy, Drama",7.8,5.89
1856,The Postman,1994,108,"Biography, Comedy, Drama, Biography, Comedy, Drama, Biography, Comedy, Drama",7.8,21.85
720,Three Colors: Red,1994,99,"Drama, Mystery, Romance, Drama, Mystery, Romance, Drama, Mystery, Romance",8.1,4.04
1647,The Fugitive,1993,130,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",7.8,183.88
1303,Carlito's Way,1993,144,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.9,36.95
929,Groundhog Day,1993,101,"Comedy, Drama, Fantasy, Comedy, Drama, Fantasy, Comedy, Drama, Fantasy",8.0,70.91
1733,The Remains of the Day,1993,134,"Drama, Romance, Drama, Romance",7.8,22.95
362,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi",8.2,402.45
6,Schindler's List,1993,195,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",9.0,96.9
684,In the Name of the Father,1993,133,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",8.1,25.01
2108,Naked,1993,131,"Comedy, Drama, Comedy, Drama",7.7,1.77
1813,Ninja Scroll,1993,94,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",7.8,0.0
1816,Batman: Mask of the Phantasm,1993,76,"Animation, Action, Adventure, Animation, Action, Adventure, Animation, Action, Adventure",7.8,5.62
1283,Bound by Honor,1993,180,"Crime, Drama, Crime, Drama",7.9,4.5
2222,Short Cuts,1993,188,"Comedy, Drama, Comedy, Drama",7.7,6.11
1516,Tombstone,1993,130,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.8,56.51
2027,Philadelphia,1993,125,Drama,7.7,77.32
